rank_arwu;title;flag;regional;score_arwu;score_alumni
501;University of Eastern Finland;;4-5;0;
501;University of Essex;;34-38;19.7;
501;University of Ferrara;;13-21;0;
501;University of Genova;;13-21;0;
501;University of Graz;;4-6;7.4;
501;University of Hannover;;31-39;0;
501;University of Jena;;31-39;0;
501;University of Kwazulu-Natal;;3-4;0;
501;University of Ljubljana;;1;0;
501;University of Maryland, Baltimore County; Baltimore County;;126-146;0;
501;University of New Hampshire - Durham;;126-146;0;
501;University of Nice Sophia Antipolis;;18-21;0;
501;University of Oklahoma - Norman;;126-146;0;
501;University of Palermo;;13-21;0;
501;University of Parma;;13-21;0;
501;University of Pavia;;13-21;0;
501;University of Perugia;;13-21;0;
501;University of Quebec;;19-21;0;
501;University of Regensburg;;31-39;0;
501;University of Rennes 1;;18-21;0;
501;University of Rostock;;31-39;0;
501;University of Santiago Compostela;;9-12;0;
501;University of Science; Malaysia;;2;0;
501;University of Surrey;;34-38;0;
501;University of Szeged;;2;0;
501;University of Tennessee Health Science Center;;126-146;0;
501;University of the Basque Country;;9-12;0;
501;University of Trieste;;13-21;0;
501;University of Wyoming;;126-146;0;
501;University of Zaragoza;;9-12;0;
501;Utah State University;;126-146;13.9;
501;Victoria University of Wellington;;3-4;11.8;
501;Vienna University of Technology;;4-6;0;
501;Waseda University;;15-19;0;
501;Wuhan University;;26-32;0;
501;York University;;19-21
